3-1,
1,"y = c_1x","In Problems 1-26 find the orthogonal trajectories of the given family of curves. "
5,"c_1x^2 + y^2 = 1"
9,"y^2 = c_1 x^3 13"
17,"y = \frac{c_1}{1 + x^2}"
21,"y = \frac{1}{\ln c_1x}"
25,"x^{1/3} + y^{1/3} = c_1"
AK
1,"x^{2} + y^{2} = c_{2}^{2} \quad "
5,"2 \ln|y| = x^{2} + y^{2} + c_{2} \quad "
9,"2x^{2} + 3y^{2} = c_{2} \quad "
13,"y^{2} \ln|y| + x^{2} = c_{2}y^{2} \quad "
17,"2y^{2} = 2 \ln|x| + x^{2} + c_{2} \quad "
21,"2y^{3} = 3x^{2} + c_{2} \quad "
25,"y^{5/3} = x^{5/3} + c_{2} \quad "
