2.3,
1,x^3 + 2xy^2 - y^4/x,"In Problems 1–10 determine whether the given function is homogeneous. If so, state the degree of homogeneity."
3,\frac{x^3y - x^2y^2}{(x+8y)^2}
5,\cos\frac{x^2}{x+y}
7,\ln x^2 - 2 \ln y
9,(x^{-1} + y^{-1})^2
13,"x\,dx + (y-2x)\,dy = 0",In Problems 11–30 solve the given differential equation by using an appropriate substitution.
17,\frac{dy}{dx} = \frac{y - x}{y + x}
21,2x^2y\ dx = (3x^3 + y^3)dy
25,"y\,\frac{dx}{dy} = x\,+\,4ye^{-2x/y}"
29,(x2 + xy - y2)dx + xy dy = 0
33,"2x^2 \frac{dy}{dx} = 3xy + y^2, \quad y(1) = -2",In Problems 31–44 solve the given differential equation subject to the indicated initial condition.
37,"(y2 + 3xy)dx = (4x2 + xy)dy, y(1) = 1"
41,"y^{2} dx + (x^{2} + xy + y^{2}) dy = 0, \quad y(0) = 1"
AK
1,y = -\frac{1}{5}\cos 5x + c
3,y = \frac{1}{3}e^{-3x} + c
5,y = x + 5 \ln|x + 1| + c
7,y = cx^4
9,y^{-2} = 2x^{-1} + c
13,-3e^{-2y} = 2e^{3x} + c
17,y^2 = x - \ln|x+1| + c
21,S = ce^{kr}
25,4\cos y = 2x + \sin 2x + c
29,(e^{x}+1)^{-2}+2(e^{y}+1)^{-1}=c
33,y - 5 \ln|y + 3| = x - 5 \ln|x + 4| + c\\or \left(\frac{y+3}{x+4}\right)^5 = c_1 e^{y-x}
37,y = \sin\left(\frac{x^2}{2} + c\right)
41,(1 + \cos x)(1 + e^y) = 4
